id,Transport_service,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,trip_duration,pickup_neighborhood,dropoff_neighborhood
63,1,01-01-2019 00:14,01-01-2019 00:16,1,0.48,-73.98068237,40.78001022,-73.9760437,40.78628922,1,143,AV,I
64,4,01-01-2019 00:14,01-01-2019 00:33,2,2.9,-73.98047638,40.75427246,-74.00498199,40.72148132,2,1180,AD,X
65,2,01-01-2019 00:14,01-01-2019 00:28,2,4.82,-73.97296143,40.76470184,-73.91535187,40.7760582,3,880,A,W
66,3,01-01-2019 00:14,01-01-2019 00:21,3,0.9,-73.97560883,40.76044464,-73.97721863,40.75030518,3,444,A,AD
67,1,01-01-2019 00:14,01-01-2019 00:23,1,3.5,-73.96975708,40.79944992,-73.99760437,40.76375198,2,566,U,P
68,3,01-01-2019 00:14,01-01-2019 00:25,1,2.1,-73.9970932,40.73142242,-74.01139069,40.70785904,1,651,H,AU
69,2,01-01-2019 00:14,01-01-2019 00:28,2,5,-73.95280457,40.7803154,-73.9404068,40.8283844,2,841,C,S
70,1,01-01-2019 00:14,01-01-2019 00:46,1,15.78,-73.97806549,40.75467682,-73.80893707,40.78653717,1,1913,AD,AQ
71,3,01-01-2019 00:15,01-01-2019 00:28,1,1.83,-73.97737885,40.75883865,-73.98358154,40.73844147,3,819,A,R
72,1,01-01-2019 00:15,01-01-2019 00:18,4,1,-73.96272278,40.75801849,-73.97380066,40.74778748,2,202,N,AD
73,4,01-01-2019 00:15,01-01-2019 00:25,2,6.6,-73.87439728,40.77408218,-73.84303284,40.71263886,1,649,F,B
74,2,01-01-2019 00:15,01-01-2019 00:29,1,4.2,-73.95711517,40.77323151,-73.95491791,40.73161697,3,840,O,Z
75,1,01-01-2019 00:15,01-01-2019 00:46,1,6.61,-74.00231934,40.75014877,-73.94042206,40.6986084,2,1889,AG,E
76,4,01-01-2019 00:16,01-01-2019 00:25,1,1.76,-73.9783783,40.67070007,-73.99140167,40.6852684,3,609,V,AS
77,1,01-01-2019 00:16,01-01-2019 00:32,1,3.82,-74.0044632,40.71937943,-73.96956635,40.68642044,1,993,,V
78,2,01-01-2019 00:16,01-01-2019 00:38,3,3.09,-73.97096252,40.75501633,-74.00647736,40.74317551,2,1346,N,Q
79,2,01-01-2019 00:16,01-01-2019 00:32,1,4.2,-73.98335266,40.77116013,-73.95246124,40.77809143,2,998,AR,AM
80,1,01-01-2019 00:16,01-01-2019 00:22,2,0.7,-73.98369598,40.72574234,-73.98503113,40.73048019,3,363,AT,AT
81,1,01-01-2019 00:16,01-01-2019 00:47,4,4.84,-74.00192261,40.73029327,-73.95406342,40.77553558,2,1884,AB,AM
82,1,01-01-2019 00:16,01-01-2019 00:47,2,11.27,-73.98706055,40.76609039,-73.87050629,40.76279831,2,1851,AR,F
83,1,01-01-2019 00:16,01-01-2019 00:28,2,4.28,-73.9543457,40.76416016,-73.90531921,40.75040817,2,718,K,L
84,1,01-01-2019 00:16,01-01-2019 00:24,2,0.8,-73.99050903,40.74175644,-73.98531342,40.74769211,2,445,R,AO
85,2,01-01-2019 00:17,01-01-2019 00:26,2,0.38,-73.98654175,40.76731873,-73.99006653,40.76311874,3,603,AR,P
86,1,01-01-2019 00:17,01-01-2019 00:38,1,5.44,-73.98182678,40.78366852,-74.0033493,40.72296906,1,1288,I,X
87,1,01-01-2019 00:17,01-01-2019 00:22,3,0.58,-73.98841858,40.73171997,-73.9968338,40.73209,2,332,H,H
88,3,01-01-2019 00:17,01-01-2019 00:20,3,1,-73.95394135,40.77865219,-73.96914673,40.78527451,1,210,C,I
89,2,01-01-2019 00:17,01-01-2019 00:27,1,0.6,-73.97771454,40.75791931,-73.97640228,40.76535034,3,612,A,A
90,3,01-01-2019 00:17,01-01-2019 00:27,1,2.91,-73.97303009,40.76446152,-73.92993164,40.75634766,3,603,A,W
91,4,01-01-2019 00:17,01-01-2019 00:21,3,0.67,-74.00247955,40.74996567,-73.99650574,40.75833511,3,252,AG,P
92,4,01-01-2019 00:17,01-01-2019 00:25,4,0.43,-73.98828125,40.72810364,-73.98748016,40.73289871,2,483,H,H
93,1,01-01-2019 00:18,01-01-2019 00:33,4,8.97,-73.87342834,40.77402878,-73.95632172,40.77053833,3,950,F,K
94,1,01-01-2019 00:18,01-01-2019 00:22,4,0.75,-73.97781372,40.7769165,-73.97750854,40.78419876,2,257,AV,I
95,3,01-01-2019 00:18,01-01-2019 00:41,3,2.6,-73.99345398,40.76222229,-73.97377014,40.74881744,2,1392,P,AD
96,4,01-01-2019 00:18,01-01-2019 00:24,1,1.85,-73.99268341,40.76337814,-73.97524261,40.78439713,2,404,P,I
97,2,01-01-2019 00:18,01-01-2019 00:41,3,9,-73.97971344,40.76055145,-73.98376465,40.68042755,1,1365,A,V
98,1,01-01-2019 00:19,01-01-2019 00:39,3,7.4,-74.00337982,40.7080574,-73.98242188,40.77794266,2,1229,AU,AV
99,2,01-01-2019 00:19,01-01-2019 00:52,4,3.62,-73.95394135,40.77482986,-73.99667358,40.75286865,2,2019,AM,D
100,4,01-01-2019 00:19,01-01-2019 00:39,2,2.34,-73.96691895,40.77290344,-73.98310852,40.74449539,1,1233,O,AO
101,4,01-01-2019 00:19,01-01-2019 00:38,1,2.47,-73.95595551,40.76785278,-73.99176788,40.77061844,3,1179,K,AR
102,4,01-01-2019 00:19,01-01-2019 00:32,2,2.5,-73.96796417,40.76694107,-73.96587372,40.79122162,2,807,AK,U
103,4,01-01-2019 00:19,01-01-2019 00:30,4,2.72,-74.0085144,40.71176147,-74.00398254,40.74217606,3,701,AU,Q
104,3,01-01-2019 00:19,01-01-2019 00:36,3,2.8,-73.99642181,40.74262619,-73.98431396,40.77544022,1,1021,AP,AV
105,4,01-01-2019 00:19,01-01-2019 00:26,4,1.11,-74.00476837,40.7455101,-73.98682404,40.73794174,2,428,AG,R
106,2,01-01-2019 00:19,01-01-2019 00:28,2,2,-73.96723938,40.77231598,-73.97411346,40.75056839,1,535,O,AD
107,1,01-01-2019 00:19,01-01-2019 00:28,3,1.1,-73.98200226,40.77302551,-73.9650116,40.77159119,3,510,AV,O
108,1,01-01-2019 00:20,01-01-2019 00:26,2,0.95,-73.96337128,40.71860123,-73.95732117,40.71197891,2,417,Z,Z
109,3,01-01-2019 00:20,01-01-2019 00:25,4,1.05,-73.98033905,40.78403854,-73.97218323,40.79660034,2,355,I,U
110,2,01-01-2019 00:20,01-01-2019 00:22,4,0.36,-73.98282623,40.72729111,-73.98268127,40.73113632,1,188,AT,AT
111,1,01-01-2019 00:20,01-01-2019 00:22,4,0.52,-73.96179962,40.77080917,-73.95410919,40.7663002,1,118,O,K
112,1,01-01-2019 00:20,01-01-2019 00:28,2,1.3,-73.98374939,40.72574615,-73.98505402,40.73927689,1,519,AT,R
113,2,01-01-2019 00:20,01-01-2019 00:23,4,0.7,-73.99739838,40.73656464,-73.98867035,40.73855209,3,209,AP,R
114,2,01-01-2019 00:20,01-01-2019 00:29,4,1.24,-73.98953247,40.73574066,-73.97736359,40.7507515,1,553,R,AD
115,1,01-01-2019 00:20,01-01-2019 00:30,1,2.28,-73.95103455,40.77466583,-73.97019196,40.79415131,2,586,AM,U
116,1,01-01-2019 00:20,01-01-2019 00:27,2,0.6,-73.98780823,40.74383163,-73.99093628,40.74872589,1,377,AO,D
117,2,01-01-2019 00:20,01-01-2019 00:28,2,1.37,-73.96809387,40.75221252,-73.98203278,40.74043655,3,460,N,Y
118,2,01-01-2019 00:21,01-01-2019 00:28,2,2.3,-73.95522308,40.77344894,-73.98368073,40.7759285,2,449,O,AV
119,1,01-01-2019 00:21,01-01-2019 00:26,2,0.55,-74.00153351,40.72614288,-74.00040436,40.73244095,2,329,AB,AB
120,3,01-01-2019 00:21,01-01-2019 00:30,3,1.33,-73.99701691,40.72281265,-73.97913361,40.71994781,2,539,X,AC
121,1,01-01-2019 00:21,01-01-2019 00:33,4,6.99,-73.96543884,40.71056366,-73.8878479,40.75523758,1,731,Z,AJ
122,1,01-01-2019 00:21,01-01-2019 00:33,4,3.59,-73.97303772,40.74674988,-73.99797058,40.72283936,1,728,AD,X
123,3,01-01-2019 00:21,01-01-2019 00:42,2,4.24,-73.97335815,40.79272842,-73.97711182,40.74819946,3,1245,U,AD
124,4,01-01-2019 00:21,01-01-2019 00:26,2,0.7,-73.95596313,40.76770782,-73.95986176,40.75860977,3,291,K,N
125,3,01-01-2019 00:21,01-01-2019 00:44,3,5.1,-73.94963837,40.79626846,-73.99442291,40.74348831,2,1355,J,AP
126,4,01-01-2019 00:22,01-01-2019 00:34,2,2.1,-73.98705292,40.7660408,-73.96451569,40.77292633,1,753,AR,O
127,2,01-01-2019 00:22,01-01-2019 00:31,3,1.81,-73.99813843,40.76124191,-74.0054245,40.7388382,2,561,P,Q
128,1,01-01-2019 00:22,01-01-2019 00:27,2,1.13,-73.97455597,40.74342346,-73.98633575,40.73296738,3,350,Y,R
129,1,01-01-2019 00:22,01-01-2019 00:23,3,0.3,-73.98239899,40.77507782,-73.98074341,40.77989197,1,95,AV,AV
130,4,01-01-2019 00:22,01-01-2019 00:57,4,11.73,-73.95565796,40.76856995,-73.96192932,40.64854813,1,2144,K,AF
131,1,01-01-2019 00:22,01-01-2019 00:42,1,3.4,-73.97961426,40.73527527,-73.98596954,40.76887131,2,1200,AT,AR
132,2,01-01-2019 00:22,01-01-2019 00:27,3,0.96,-73.96205902,40.76761627,-73.95123291,40.77249527,2,301,K,AM
133,3,01-01-2019 00:22,01-01-2019 00:37,3,6.2,-73.9506073,40.77113342,-73.90358734,40.7747345,2,928,AM,W
134,2,01-01-2019 00:22,01-01-2019 00:34,1,1,-73.97993469,40.75479889,-73.97616577,40.74438858,1,734,AD,Y
135,2,01-01-2019 00:22,01-01-2019 01:03,3,10.12,-73.99497223,40.74876022,-73.93185425,40.65581894,2,2469,D,AF
136,1,01-01-2019 00:22,01-01-2019 00:38,2,1.46,-73.98274994,40.75690842,-73.96546173,40.75917816,2,945,AA,N
137,3,01-01-2019 00:22,01-01-2019 00:43,4,9.7,-73.98690033,40.71276093,-73.94541168,40.80800247,1,1246,AC,J
138,3,01-01-2019 00:23,01-01-2019 00:27,3,0.67,-73.98930359,40.72612,-73.98358154,40.73184967,3,299,H,AT
139,2,01-01-2019 00:23,01-01-2019 00:33,3,1.3,-73.96672058,40.77277756,-73.97270966,40.75692749,1,639,O,N
140,2,01-01-2019 00:23,01-01-2019 00:30,2,1.3,-73.98213959,40.77228928,-73.97807312,40.78865814,3,428,AV,I
141,2,01-01-2019 00:23,01-01-2019 00:34,1,1.4,-73.99362946,40.75651169,-73.9835434,40.76669693,2,653,P,AR
142,4,01-01-2019 00:24,01-01-2019 00:31,2,1.4,-73.9781189,40.78349304,-73.95791626,40.77463531,2,421,I,O
143,4,01-01-2019 00:24,01-01-2019 00:30,1,1.67,-73.98612976,40.72317123,-73.97895813,40.74064636,1,384,AC,Y
144,4,01-01-2019 00:24,01-01-2019 00:33,4,1.2,-73.98213196,40.72796249,-73.99976349,40.73425674,2,554,AT,AB
145,4,01-01-2019 00:24,01-01-2019 00:35,2,2.75,-73.99804688,40.72105026,-73.9719162,40.69332886,2,676,X,V
146,1,01-01-2019 00:24,01-01-2019 00:33,1,1.11,-73.98860168,40.73866272,-73.99222565,40.74902344,3,561,R,D
147,1,01-01-2019 00:25,01-01-2019 00:37,2,2.18,-74.00608063,40.72254181,-74.01371765,40.70229721,3,769,,AU
148,1,01-01-2019 00:25,01-01-2019 00:33,3,4.7,-74.00416565,40.70694733,-73.96960449,40.75286484,3,495,AU,N
149,4,01-01-2019 00:25,01-01-2019 00:35,3,1.5,-74.00069427,40.74208832,-73.98080444,40.72986221,3,585,Q,AT
150,4,01-01-2019 00:26,01-01-2019 00:41,1,3.08,-73.97142792,40.75512314,-73.98510742,40.77891922,3,946,N,AV
151,3,01-01-2019 00:26,01-01-2019 00:33,3,1.3,-73.92220306,40.70941925,-73.94444275,40.70867157,3,429,E,Z
152,3,01-01-2019 00:26,01-01-2019 00:43,1,2.8,-73.9755249,40.7612648,-73.9458313,40.77770233,3,1020,A,AM
153,4,01-01-2019 00:27,01-01-2019 00:36,3,3.2,-73.96100616,40.75692368,-73.9522934,40.79132843,1,557,N,C
154,4,01-01-2019 00:27,01-01-2019 00:39,2,2.63,-74.00921631,40.7387886,-74.0061264,40.70854187,3,745,Q,AU
155,1,01-01-2019 00:27,01-01-2019 00:40,3,1.79,-73.98815918,40.737854,-73.98686981,40.72252655,3,773,R,AC
156,1,01-01-2019 00:27,01-01-2019 00:32,1,0.64,-73.99655151,40.72130966,-73.9990921,40.72790909,3,310,X,AB
157,3,01-01-2019 00:28,01-01-2019 00:32,2,0.79,-73.97620392,40.78089523,-73.96824646,40.78679657,3,257,I,U
158,1,01-01-2019 00:28,01-01-2019 00:33,1,0.79,-73.96955109,40.76921844,-73.95960236,40.76285934,3,325,AK,K
159,4,01-01-2019 00:28,01-01-2019 00:37,1,1.28,-73.99192047,40.72582245,-73.9960556,40.73857117,2,582,H,AP
160,2,01-01-2019 00:29,01-01-2019 00:42,2,2.65,-73.96011353,40.67494202,-73.99565887,40.6628952,3,823,AW,M
161,2,01-01-2019 00:29,01-01-2019 00:38,3,1.23,-73.99137878,40.72724915,-73.9800415,40.74317932,3,574,H,Y
162,2,01-01-2019 00:29,01-01-2019 00:36,1,1.5,-73.97540283,40.74358368,-73.98406982,40.727005,2,417,Y,AT
163,2,01-01-2019 00:29,01-01-2019 00:34,1,0.62,-73.99767303,40.72577286,-73.98669434,40.72225571,1,293,X,AC
164,4,01-01-2019 00:29,01-01-2019 00:46,1,8.8,-73.98227692,40.72076035,-73.94436646,40.81903076,3,1014,AC,AL
165,1,01-01-2019 00:29,01-01-2019 00:41,1,2.2,-74.00177002,40.74584579,-73.99758911,40.72148132,2,743,AG,X
166,4,01-01-2019 00:29,01-01-2019 00:46,3,2.4,-73.98043823,40.78551483,-73.99812317,40.75626373,2,1044,I,P
167,2,01-01-2019 00:29,01-01-2019 00:46,3,5.2,-73.9783783,40.72949219,-73.93771362,40.75371552,3,1009,AT,AN
168,1,01-01-2019 00:29,01-01-2019 00:38,3,2.16,-73.96170044,40.75577927,-73.96167755,40.77956009,3,562,N,O
169,1,01-01-2019 00:29,01-01-2019 00:32,2,0.68,-73.96082306,40.76959991,-73.9524765,40.77307129,2,146,K,AM
170,3,01-01-2019 00:30,01-01-2019 00:42,4,2.3,-73.99415588,40.73230362,-73.97097778,40.75568008,1,757,H,N
171,1,01-01-2019 00:30,01-01-2019 01:02,4,4.98,-73.9911499,40.73163223,-73.97328186,40.7869072,2,1917,H,I
172,4,01-01-2019 00:30,01-01-2019 00:44,1,6.8,-73.98597717,40.71583557,-73.94508362,40.78718567,2,833,AC,C
173,1,01-01-2019 00:31,01-01-2019 00:46,2,4.8,-73.98147583,40.72087097,-73.98671722,40.6844635,2,933,AC,AS
174,2,01-01-2019 00:31,01-01-2019 00:38,4,1.9,-73.97356415,40.74856949,-73.96445465,40.76060486,3,481,AD,AK
175,1,01-01-2019 00:31,01-01-2019 00:39,4,1.48,-73.98895264,40.74797821,-74.00583649,40.7365799,1,540,AO,Q
176,2,01-01-2019 00:31,01-01-2019 01:17,4,4.69,-73.98032379,40.74247742,-73.97576141,40.73100281,2,2790,Y,AT
177,2,01-01-2019 00:31,01-01-2019 00:48,2,6.3,-73.97967529,40.75257492,-73.94703674,40.7077179,3,1043,AD,Z
178,1,01-01-2019 00:31,01-01-2019 00:41,3,1.26,-73.98220825,40.72795105,-73.99746704,40.72149277,2,576,AT,X
179,1,01-01-2019 00:32,01-01-2019 00:39,4,2.29,-74.01003265,40.70957184,-73.99881744,40.73825455,3,478,AU,AP
180,2,01-01-2019 00:32,01-01-2019 00:50,3,2.8,-73.98123932,40.75019073,-73.97675323,40.75181961,1,1113,AO,AD
181,3,01-01-2019 00:32,01-01-2019 00:36,3,0.79,-73.9608078,40.77563858,-73.96697998,40.76649857,1,248,O,AK
182,3,01-01-2019 00:32,01-01-2019 01:04,4,3.6,-73.99272156,40.76323318,-73.95414734,40.77717209,3,1948,P,AM
183,1,01-01-2019 00:32,01-01-2019 00:52,1,8.1,-73.79000854,40.64676285,-73.8273468,40.69430161,2,1227,G,T
184,2,01-01-2019 00:32,01-01-2019 00:43,4,2.2,-73.96479797,40.6832161,-73.989151,40.66573334,2,646,V,M
185,3,01-01-2019 00:32,01-01-2019 00:43,4,3.08,-73.97475433,40.78811264,-73.94554138,40.82525635,3,675,I,AL
186,1,01-01-2019 00:32,01-01-2019 00:56,2,3.84,-73.94810486,40.78453064,-73.98123169,40.7442131,2,1454,C,Y
187,1,01-01-2019 00:33,01-01-2019 00:44,2,1.5,-74.00509644,40.75173187,-73.98552704,40.74399948,1,658,AG,AO
188,2,01-01-2019 00:33,01-01-2019 00:40,3,2.2,-73.95417023,40.70718002,-73.98968506,40.72034454,1,432,Z,AC
189,1,01-01-2019 00:33,01-01-2019 00:46,1,4.45,-74.00435638,40.7076416,-73.94075775,40.71994019,1,792,AU,Z
190,2,01-01-2019 00:34,01-01-2019 00:52,4,4,-73.9511261,40.77863693,-73.97650146,40.72880173,1,1113,AM,AT
191,2,01-01-2019 00:34,01-01-2019 00:47,4,1.6,-73.9879303,40.74364471,-73.96917725,40.75513458,2,783,AO,N
192,4,01-01-2019 00:34,01-01-2019 00:45,4,2.31,-74.00328827,40.73266983,-73.97885132,40.71366119,3,695,AB,AC
193,2,01-01-2019 00:34,01-01-2019 00:59,4,4.9,-73.995224,40.7270546,-73.92466736,40.69200516,1,1506,H,E
194,3,01-01-2019 00:34,01-01-2019 00:56,1,1.94,-73.97988129,40.74938965,-73.99565125,40.75944138,3,1353,AD,P
195,4,01-01-2019 00:34,01-01-2019 00:51,1,7.3,-73.97583008,40.76548386,-74.01725769,40.7052002,1,1052,A,AU
196,2,01-01-2019 00:34,01-01-2019 00:52,2,3.32,-74.0085907,40.72890472,-73.99079895,40.76602173,1,1071,AB,AR
197,4,01-01-2019 00:34,01-01-2019 00:53,4,3.9,-73.9874649,40.74416733,-73.95397186,40.72940063,1,1113,AO,Z
198,4,01-01-2019 00:34,01-01-2019 00:53,2,2.7,-73.94054413,40.75033569,-73.90871429,40.77288818,2,1153,AN,W
199,2,01-01-2019 00:34,01-01-2019 00:46,4,1.8,-73.99385071,40.72018814,-73.98086548,40.74189377,2,723,X,Y
200,1,01-01-2019 00:34,01-01-2019 00:55,2,5.28,-73.97312164,40.75507355,-73.95896149,40.71583557,2,1284,AD,Z
201,2,01-01-2019 00:34,01-01-2019 00:45,4,1.53,-73.96884155,40.76997375,-73.96392822,40.75452805,3,626,AK,N
202,3,01-01-2019 00:35,01-01-2019 01:02,4,4.3,-73.98760986,40.74716187,-73.96444702,40.79180527,1,1686,AO,U
203,3,01-01-2019 00:35,01-01-2019 00:41,1,1.46,-73.9672699,40.80346298,-73.95516968,40.82025146,2,406,AH,AL
204,3,01-01-2019 00:35,01-01-2019 00:36,4,0.52,-73.96498871,40.75537109,-73.96016693,40.76200104,1,95,N,K
